article_id,category,title,date,content,summary,source_url,source_name,company_tag,keywords,collected_at,has_null,is_duplicate_seed,data_origin
CL-0078,market,"[로봇테크쇼2026] LG생산기술원, 캡티브 탈피 스마트팩토리 B2B 공략 가속 - 녹색경제신문",2026-06-11,"[로봇테크쇼2026] LG생산기술원, 캡티브 탈피 스마트팩토리 B2B 공략 가속 녹색경제신문","[로봇테크쇼2026] LG생산기술원, 캡티브 탈피 스마트팩토리 B2B 공략 가속 녹색경제신문",https://news.google.com/rss/articles/CBMiaEFVX3lxTFBXaldhd2J4X1RoMVhJRUQ4NjJITDZWZjNsd0s2MzRLNDQxd3N6bDJGbmRvZmxRSTVGcGFFQ3ZCLW5DcGdXaEFnMzFCU0o5UTh2NEZ1Rl9kVUtwRFM2VkdqSTEyM2N5Yjdw?oc=5,녹색경제신문,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0079,market,"정부, 철강 등 주력 제조업 AI 전환 본격화…‘AI 팩토리’ 확산 - 철강금속신문",2026-08-19,"정부, 철강 등 주력 제조업 AI 전환 본격화…‘AI 팩토리’ 확산 철강금속신문","정부, 철강 등 주력 제조업 AI 전환 본격화…‘AI 팩토리’ 확산 철강금속신문",https://news.google.com/rss/articles/CBMiakFVX3lxTE5mUEFWN2podTNOaG9mLUhiOWNSdW14d3RjOUQ2OWRfVUN6ZmE0SzNOckNmOWhkNG5aSTVWUGZabWgyem0wZ084bTAtX1ZNRVJScTV5VU5MX1hQSTU0S3VvckNvVEJnRm5QdFE?oc=5,철강금속신문,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0080,market,"스마트제조혁신협회, AI+ 스마트팩토리쇼서 제조AX 컨퍼런스 성황리 개최 - 헬로티",2026-06-14,"스마트제조혁신협회, AI+ 스마트팩토리쇼서 제조AX 컨퍼런스 성황리 개최 헬로티","스마트제조혁신협회, AI+ 스마트팩토리쇼서 제조AX 컨퍼런스 성황리 개최 헬로티",https://news.google.com/rss/articles/CBMiX0FVX3lxTE96ckZuTkJhRG5uNnZEV2FOVWdFRkROa2JvejdzakRxcDhkSXdxNmJqTDdLd0p5dUFUai0tU0dDUXZrUkZyaGxacGZzMWtFV212NWxqbjNnSjNkTEVFMURz?oc=5,헬로티,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0081,market,[3대 메가] AI로 제조업 대전환…20조 투자해 100조 경제 만든다 - yna.co.kr,2026-06-29,[3대 메가] AI로 제조업 대전환…20조 투자해 100조 경제 만든다 yna.co.kr,[3대 메가] AI로 제조업 대전환…20조 투자해 100조 경제 만든다 yna.co.kr,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9SNXMzWnRpV19BZ2JMTlVRYkkydTJ4UmhVcm04NklHVVJqTWxIdUFsdllKNXl2OUViMHFiQVo2a2pNbGFmY0VRM3JHbndzN21ZR2xoRDdKR0M4cVnSAWBBVV95cUxPbG5reURhLXVrNkROV1FRRDhmamtlSDhLR1JmWkdIdjJSR1IxMGdyZ05LeEt4WEZFMGNydDhMZTV1dnc2TjM1Ulc3VEtkdEdKbjFDRWZxb1l3MVF6dzV2aWg?oc=5,yna.co.kr,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0082,market,"中, AI 제조혁명 세계 1위…한국 공장도 ’AI 없인 안 된다’ By EBN - Investing.com 한국어",2026-07-12,"中, AI 제조혁명 세계 1위…한국 공장도 ’AI 없인 안 된다’ By EBN Investing.com 한국어","中, AI 제조혁명 세계 1위…한국 공장도 ’AI 없인 안 된다’ By EBN Investing.com 한국어",https://news.google.com/rss/articles/CBMicEFVX3lxTE9ISnE3WHNycVZfMUZBT1RJQWpocGU1NjlqOWdwOXNndzRvYnF0Y0lqTGdPYjFOa1MtZHZxTDFvMkhOLWFtN0o0am1XdHVGb1hsUXFjU2JPTEdPNmkwVzdtTEFwNHFvOVhwWjZ6bS1TQzM?oc=5,Investing.com 한국어,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0083,market,"[인더스트리 솔루션 인사이트] AI 전환 2막, 산업은 ‘에이전트’로 재편된다 - 헬로티",2026-06-22,"[인더스트리 솔루션 인사이트] AI 전환 2막, 산업은 ‘에이전트’로 재편된다 헬로티","[인더스트리 솔루션 인사이트] AI 전환 2막, 산업은 ‘에이전트’로 재편된다 헬로티",https://news.google.com/rss/articles/CBMiX0FVX3lxTE9IdXl4TzNvUndaS0NyaHdJRzhsWVhCRG1iSEFFdWtkOGFvLW56WVVNcHZzTC1UcjJENDMtNUxydmx0ZWVkZGhfVmRBNEtqYzA3TkowNFNsekpsb2EyMXFJ?oc=5,헬로티,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0084,market,"AI가 바꾸는 발전소 제조···두산에너빌리티, 스마트팩토리로 생산성 혁신 - smartbizn.com",2026-07-08,"AI가 바꾸는 발전소 제조···두산에너빌리티, 스마트팩토리로 생산성 혁신 smartbizn.com","AI가 바꾸는 발전소 제조···두산에너빌리티, 스마트팩토리로 생산성 혁신 smartbizn.com",https://news.google.com/rss/articles/CBMibEFVX3lxTFAyYjJSMDRMYTMxcHlwcjBLMjJIQnhfTXBTLTYzaFpzU3J4eEpaQWxaTThXYXBhcTNhYnJtTHZSNzdOSjZZTW55VUMzV0NYcGExbGY2czdiaEY2MUxvdlM5VTFlUk41aUlUTFlGYw?oc=5,smartbizn.com,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0085,market,"네이버클라우드·지멘스, 제조 AI 전환 맞손…국내 스마트팩토리 혁신 가속 - 더테크",2026-06-24,"네이버클라우드·지멘스, 제조 AI 전환 맞손…국내 스마트팩토리 혁신 가속 더테크","네이버클라우드·지멘스, 제조 AI 전환 맞손…국내 스마트팩토리 혁신 가속 더테크",https://news.google.com/rss/articles/CBMiY0FVX3lxTFBWVDA5anBUdk95djNsaFJFOVh0QTdBcC1BcmZ3RHFFazIxT25sWDZSRXVOTFFJWDlmQzducEU4UklHYWpoeXhSOEZvV1NCMnJ5SWlwcGdWN1d5bTRueFMydkxFNA?oc=5,더테크,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0086,market,철강·석유화학 등 주력산업 AI 제조 혁신…잠재성장률 높인다 - 대한민국 정책브리핑,2026-08-06,철강·석유화학 등 주력산업 AI 제조 혁신…잠재성장률 높인다 대한민국 정책브리핑,철강·석유화학 등 주력산업 AI 제조 혁신…잠재성장률 높인다 대한민국 정책브리핑,https://news.google.com/rss/articles/CBMibEFVX3lxTE1Xa3FtMEZWTFlYbGZ3S0pTc1E2VHB5MTh0UzZFRzFTcGVBX0hvQ1o0X21la0xCRTFrLVpzRzhVOERQSVcyYjlPTzN4NExJOS1lbjhuc0lJX1FlekIwVEtHektJVTdicGhvTm5jZA?oc=5,대한민국 정책브리핑,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0087,market,"영남이공대·HD건설기계, AI·스마트제조 현장 인재 21명 양성 - 매일신문",2026-09-09,"영남이공대·HD건설기계, AI·스마트제조 현장 인재 21명 양성 매일신문","영남이공대·HD건설기계, AI·스마트제조 현장 인재 21명 양성 매일신문",https://news.google.com/rss/articles/CBMiYkFVX3lxTE5mclN4VDVWWHhWbXVacmMwR3FSVUVtQUtqal9hemUxekZTMzhEbW8wMzRVWjVlSmpmaUpQSTVJNlRnckZYR1ZsYkFkTjB2c1ZwUzYxNFFndWM2MUJIc2NsZXRB?oc=5,매일신문,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
